probka;y_real;y_model;u_input;error
242;14.9000;15.3313;22.0000;-0.4313
243;14.9000;15.3444;22.0000;-0.4444
244;14.9000;15.3575;22.0000;-0.4575
245;14.9000;15.3706;22.0000;-0.4706
246;14.9000;15.3836;22.0000;-0.4836
247;15.0000;15.3967;22.0000;-0.3967
248;15.0000;15.4097;22.0000;-0.4097
249;15.0000;15.4228;22.0000;-0.4228
250;15.0000;15.4358;22.0000;-0.4358
251;15.0000;15.4488;22.0000;-0.4488
252;15.0000;15.4618;22.0000;-0.4618
253;15.0000;15.4748;22.0000;-0.4748
254;15.0000;15.4878;22.0000;-0.4878
255;15.1000;15.5008;22.0000;-0.4008
256;15.1000;15.5137;22.0000;-0.4137
257;15.1000;15.5267;22.0000;-0.4267
258;15.2000;15.5396;22.0000;-0.3396
259;15.2000;15.5526;22.0000;-0.3526
260;15.2000;15.5655;22.0000;-0.3655
261;15.2000;15.5784;22.0000;-0.3784
262;15.2000;15.5913;22.0000;-0.3913
263;15.3000;15.6042;22.0000;-0.3042
264;15.3000;15.6171;22.0000;-0.3171
265;15.3000;15.6300;22.0000;-0.3300
266;15.3000;15.6428;22.0000;-0.3428
267;15.3000;15.6557;22.0000;-0.3557
268;15.4000;15.6685;22.0000;-0.2685
269;15.4000;15.6814;22.0000;-0.2814
270;15.4000;15.6942;22.0000;-0.2942
271;15.4000;15.7070;22.0000;-0.3070
272;15.4000;15.7198;22.0000;-0.3198
273;15.4000;15.7326;22.0000;-0.3326
274;15.4000;15.7454;22.0000;-0.3454
275;15.4000;15.7582;22.0000;-0.3582
276;15.5000;15.7710;22.0000;-0.2710
277;15.5000;15.7837;22.0000;-0.2837
278;15.5000;15.7965;22.0000;-0.2965
279;15.6000;15.8092;22.0000;-0.2092
280;15.6000;15.8219;22.0000;-0.2219
281;15.6000;15.8346;22.0000;-0.2346
282;15.6000;15.8474;22.0000;-0.2474
283;15.6000;15.8601;22.0000;-0.2601
284;15.7000;15.8727;22.0000;-0.1727
285;15.7000;15.8854;22.0000;-0.1854
286;15.7000;15.8981;22.0000;-0.1981
287;15.7000;15.9108;22.0000;-0.2108
288;15.7000;15.9234;22.0000;-0.2234
289;15.7000;15.9361;22.0000;-0.2361
290;15.7000;15.9487;22.0000;-0.2487
291;15.7000;15.9613;22.0000;-0.2613
292;15.8000;15.9739;22.0000;-0.1739
293;15.8000;15.9865;22.0000;-0.1865
294;15.8000;15.9991;22.0000;-0.1991
295;15.8000;16.0117;22.0000;-0.2117
296;15.8000;16.0243;22.0000;-0.2243
297;15.9000;16.0369;22.0000;-0.1369
298;15.9000;16.0494;22.0000;-0.1494
299;15.9000;16.0620;22.0000;-0.1620
300;15.9000;16.0745;22.0000;-0.1745
301;15.9000;16.0870;22.0000;-0.1870
302;16.0000;16.0995;22.0000;-0.0995
303;16.0000;16.1120;22.0000;-0.1120
304;16.0000;16.1245;22.0000;-0.1245
305;16.0000;16.1370;22.0000;-0.1370
306;16.0000;16.1495;22.0000;-0.1495
307;16.0000;16.1620;22.0000;-0.1620
308;16.0000;16.1744;22.0000;-0.1744
309;16.0000;16.1869;22.0000;-0.1869
310;16.1000;16.1993;22.0000;-0.0993
