time;Czujnik;data;temperature [°C];time;Czujnik;data;temperature [°C];ON/OFF;;22 = on, chyba to temperatura docelowa
12:32:28;CRT;121;12,1;12:32:28;HRT;146;14,6;22;;
12:32:29;CRT;121;12,1;12:32:29;HRT;146;14,6;22;;
12:32:30;CRT;121;12,1;12:32:30;HRT;146;14,6;22;;
12:32:30;CRT;121;12,1;12:32:30;HRT;146;14,6;22;;
12:32:31;CRT;121;12,1;12:32:31;HRT;146;14,6;22;;
12:32:32;CRT;121;12,1;12:32:32;HRT;147;14,7;22;;
12:32:32;CRT;121;12,1;12:32:32;HRT;147;14,7;22;;
12:32:33;CRT;121;12,1;12:32:33;HRT;147;14,7;22;;
12:32:33;CRT;121;12,1;12:32:33;HRT;148;14,8;22;;
12:32:34;CRT;121;12,1;12:32:34;HRT;148;14,8;22;;
12:32:35;CRT;121;12,1;12:32:35;HRT;148;14,8;22;;
12:32:35;CRT;121;12,1;12:32:35;HRT;148;14,8;22;;
12:32:36;CRT;121;12,1;12:32:36;HRT;148;14,8;22;;
12:32:37;CRT;121;12,1;12:32:37;HRT;149;14,9;22;;
12:32:37;CRT;121;12,1;12:32:37;HRT;149;14,9;22;;
12:32:38;CRT;121;12,1;12:32:38;HRT;149;14,9;22;;
12:32:39;CRT;121;12,1;12:32:39;HRT;149;14,9;22;;
12:32:39;CRT;121;12,1;12:32:39;HRT;149;14,9;22;;
12:32:40;CRT;121;12,1;12:32:40;HRT;150;15;22;;
12:32:41;CRT;121;12,1;12:32:41;HRT;150;15;22;;
12:32:41;CRT;121;12,1;12:32:41;HRT;150;15;22;;
12:32:42;CRT;121;12,1;12:32:42;HRT;150;15;22;;
12:32:43;CRT;121;12,1;12:32:43;HRT;150;15;22;;
12:32:43;CRT;121;12,1;12:32:43;HRT;150;15;22;;
12:32:44;CRT;121;12,1;12:32:44;HRT;150;15;22;;
12:32:45;CRT;121;12,1;12:32:45;HRT;150;15;22;;
12:32:45;CRT;121;12,1;12:32:45;HRT;151;15,1;22;;
12:32:46;CRT;121;12,1;12:32:46;HRT;151;15,1;22;;
12:32:46;CRT;121;12,1;12:32:46;HRT;151;15,1;22;;
12:32:47;CRT;121;12,1;12:32:47;HRT;152;15,2;22;;
12:32:48;CRT;121;12,1;12:32:48;HRT;152;15,2;22;;
12:32:48;CRT;121;12,1;12:32:48;HRT;152;15,2;22;;
12:32:49;CRT;121;12,1;12:32:49;HRT;152;15,2;22;;
12:32:50;CRT;121;12,1;12:32:50;HRT;152;15,2;22;;
12:32:50;CRT;121;12,1;12:32:50;HRT;153;15,3;22;;
12:32:51;CRT;121;12,1;12:32:51;HRT;153;15,3;22;;
12:32:52;CRT;121;12,1;12:32:52;HRT;153;15,3;22;;
12:32:52;CRT;121;12,1;12:32:52;HRT;153;15,3;22;;
12:32:53;CRT;121;12,1;12:32:53;HRT;153;15,3;22;;
12:32:54;CRT;121;12,1;12:32:54;HRT;154;15,4;22;;
12:32:54;CRT;121;12,1;12:32:54;HRT;154;15,4;22;;
12:32:55;CRT;121;12,1;12:32:55;HRT;154;15,4;22;;
12:32:55;CRT;121;12,1;12:32:55;HRT;154;15,4;22;;
12:32:56;CRT;121;12,1;12:32:56;HRT;154;15,4;22;;
12:32:57;CRT;121;12,1;12:32:57;HRT;154;15,4;22;;
12:32:57;CRT;121;12,1;12:32:57;HRT;154;15,4;22;;
12:32:58;CRT;121;12,1;12:32:58;HRT;154;15,4;22;;
12:32:59;CRT;121;12,1;12:32:59;HRT;155;15,5;22;;
12:32:59;CRT;121;12,1;12:32:59;HRT;155;15,5;22;;
12:33:00;CRT;121;12,1;12:33:00;HRT;155;15,5;22;;
12:33:01;CRT;121;12,1;12:33:01;HRT;156;15,6;22;;
12:33:01;CRT;121;12,1;12:33:01;HRT;156;15,6;22;;
12:33:02;CRT;121;12,1;12:33:02;HRT;156;15,6;22;;
12:33:03;CRT;121;12,1;12:33:03;HRT;156;15,6;22;;
12:33:03;CRT;121;12,1;12:33:03;HRT;156;15,6;22;;
12:33:04;CRT;121;12,1;12:33:04;HRT;157;15,7;22;;
12:33:05;CRT;121;12,1;12:33:05;HRT;157;15,7;22;;
12:33:05;CRT;121;12,1;12:33:05;HRT;157;15,7;22;;
12:33:06;CRT;121;12,1;12:33:06;HRT;157;15,7;22;;
12:33:06;CRT;121;12,1;12:33:06;HRT;157;15,7;22;;
12:33:07;CRT;121;12,1;12:33:07;HRT;157;15,7;22;;
12:33:08;CRT;121;12,1;12:33:08;HRT;157;15,7;22;;
12:33:08;CRT;121;12,1;12:33:08;HRT;157;15,7;22;;
12:33:09;CRT;121;12,1;12:33:09;HRT;158;15,8;22;;
12:33:10;CRT;121;12,1;12:33:10;HRT;158;15,8;22;;
12:33:10;CRT;121;12,1;12:33:10;HRT;158;15,8;22;;
12:33:11;CRT;121;12,1;12:33:11;HRT;158;15,8;22;;
12:33:12;CRT;121;12,1;12:33:12;HRT;158;15,8;22;;
12:33:12;CRT;121;12,1;12:33:12;HRT;159;15,9;22;;
12:33:13;CRT;121;12,1;12:33:13;HRT;159;15,9;22;;
12:33:14;CRT;121;12,1;12:33:14;HRT;159;15,9;22;;
12:33:14;CRT;121;12,1;12:33:14;HRT;159;15,9;22;;
12:33:15;CRT;121;12,1;12:33:15;HRT;159;15,9;22;;
12:33:16;CRT;121;12,1;12:33:16;HRT;160;16;22;;
12:33:16;CRT;121;12,1;12:33:16;HRT;160;16;22;;
12:33:17;CRT;121;12,1;12:33:17;HRT;160;16;22;;
12:33:18;CRT;121;12,1;12:33:18;HRT;160;16;22;;
12:33:18;CRT;121;12,1;12:33:18;HRT;160;16;22;;
12:33:19;CRT;121;12,1;12:33:19;HRT;160;16;22;;
12:33:20;CRT;121;12,1;12:33:20;HRT;160;16;22;;
12:33:20;CRT;121;12,1;12:33:20;HRT;160;16;22;;
12:33:21;CRT;121;12,1;12:33:21;HRT;161;16,1;22;;
12:33:21;CRT;121;12,1;12:33:21;HRT;161;16,1;22;;
12:33:22;CRT;121;12,1;12:33:22;HRT;161;16,1;22;;
12:33:23;CRT;121;12,1;12:33:23;HRT;162;16,2;22;;
12:33:23;CRT;121;12,1;12:33:23;HRT;162;16,2;22;;
12:33:24;CRT;121;12,1;12:33:24;HRT;162;16,2;22;;
12:33:25;CRT;121;12,1;12:33:25;HRT;162;16,2;22;;
12:33:25;CRT;121;12,1;12:33:25;HRT;162;16,2;22;;
12:33:26;CRT;121;12,1;12:33:26;HRT;163;16,3;22;;
12:33:27;CRT;121;12,1;12:33:27;HRT;163;16,3;22;;
12:33:27;CRT;121;12,1;12:33:27;HRT;163;16,3;22;;
12:33:28;CRT;121;12,1;12:33:28;HRT;163;16,3;22;;
12:33:29;CRT;121;12,1;12:33:29;HRT;163;16,3;22;;
12:33:29;CRT;121;12,1;12:33:29;HRT;164;16,4;22;;
12:33:30;CRT;121;12,1;12:33:30;HRT;164;16,4;22;;
12:33:31;CRT;121;12,1;12:33:31;HRT;164;16,4;22;;
12:33:31;CRT;121;12,1;12:33:31;HRT;164;16,4;22;;
12:33:32;CRT;121;12,1;12:33:32;HRT;164;16,4;22;;
12:33:33;CRT;121;12,1;12:33:33;HRT;164;16,4;22;;
12:33:33;CRT;121;12,1;12:33:33;HRT;164;16,4;22;;
12:33:34;CRT;121;12,1;12:33:34;HRT;164;16,4;22;;
12:33:34;CRT;121;12,1;12:33:34;HRT;165;16,5;22;;
12:33:35;CRT;121;12,1;12:33:35;HRT;165;16,5;22;;
12:33:36;CRT;121;12,1;12:33:36;HRT;165;16,5;22;;
12:33:37;CRT;121;12,1;12:33:37;HRT;166;16,6;22;;
12:33:37;CRT;121;12,1;12:33:37;HRT;166;16,6;22;;
12:33:38;CRT;121;12,1;12:33:38;HRT;166;16,6;22;;
12:33:38;CRT;121;12,1;12:33:38;HRT;166;16,6;22;;
12:33:39;CRT;121;12,1;12:33:39;HRT;166;16,6;22;;
12:33:40;CRT;121;12,1;12:33:40;HRT;166;16,6;22;;
12:33:40;CRT;121;12,1;12:33:40;HRT;166;16,6;22;;
12:33:41;CRT;121;12,1;12:33:41;HRT;166;16,6;22;;
12:33:42;CRT;121;12,1;12:33:42;HRT;166;16,6;22;;
12:33:42;CRT;121;12,1;12:33:42;HRT;166;16,6;22;;
12:33:43;CRT;121;12,1;12:33:43;HRT;167;16,7;22;;
12:33:44;CRT;121;12,1;12:33:44;HRT;167;16,7;22;;
12:33:44;CRT;121;12,1;12:33:44;HRT;167;16,7;22;;
12:33:45;CRT;121;12,1;12:33:45;HRT;168;16,8;22;;
12:33:46;CRT;121;12,1;12:33:46;HRT;168;16,8;22;;
12:33:46;CRT;121;12,1;12:33:46;HRT;168;16,8;22;;
12:33:47;CRT;121;12,1;12:33:47;HRT;168;16,8;22;;
12:33:48;CRT;121;12,1;12:33:48;HRT;168;16,8;22;;
12:33:48;CRT;121;12,1;12:33:48;HRT;168;16,8;22;;
12:33:49;CRT;121;12,1;12:33:49;HRT;168;16,8;22;;
12:33:50;CRT;121;12,1;12:33:50;HRT;168;16,8;22;;
12:33:50;CRT;121;12,1;12:33:50;HRT;169;16,9;22;;
12:33:51;CRT;121;12,1;12:33:51;HRT;169;16,9;22;;
12:33:52;CRT;121;12,1;12:33:52;HRT;169;16,9;22;;
12:33:52;CRT;121;12,1;12:33:52;HRT;169;16,9;22;;
12:33:53;CRT;121;12,1;12:33:53;HRT;170;17;22;;
12:33:54;CRT;121;12,1;12:33:54;HRT;170;17;22;;
12:33:54;CRT;121;12,1;12:33:54;HRT;170;17;22;;
12:33:55;CRT;121;12,1;12:33:55;HRT;170;17;22;;
12:33:56;CRT;121;12,1;12:33:56;HRT;170;17;22;;
12:33:56;CRT;121;12,1;12:33:56;HRT;171;17,1;22;;
12:33:57;CRT;121;12,1;12:33:57;HRT;171;17,1;22;;
12:33:58;CRT;121;12,1;12:33:58;HRT;171;17,1;22;;
12:33:58;CRT;121;12,1;12:33:58;HRT;171;17,1;22;;
12:33:59;CRT;121;12,1;12:33:59;HRT;171;17,1;22;;
12:34:00;CRT;121;12,1;12:34:00;HRT;171;17,1;22;;
12:34:00;CRT;121;12,1;12:34:00;HRT;171;17,1;22;;
12:34:01;CRT;121;12,1;12:34:01;HRT;171;17,1;22;;
12:34:02;CRT;121;12,1;12:34:02;HRT;172;17,2;22;;
12:34:02;CRT;121;12,1;12:34:02;HRT;172;17,2;22;;
12:34:03;CRT;121;12,1;12:34:03;HRT;172;17,2;22;;
12:34:03;CRT;121;12,1;12:34:03;HRT;172;17,2;22;;
12:34:04;CRT;121;12,1;12:34:04;HRT;172;17,2;22;;
12:34:05;CRT;121;12,1;12:34:05;HRT;173;17,3;22;;
12:34:05;CRT;121;12,1;12:34:05;HRT;173;17,3;22;;
12:34:06;CRT;121;12,1;12:34:06;HRT;173;17,3;22;;
12:34:07;CRT;121;12,1;12:34:07;HRT;173;17,3;22;;
12:34:07;CRT;121;12,1;12:34:07;HRT;173;17,3;22;;
12:34:08;CRT;121;12,1;12:34:08;HRT;173;17,3;22;;
12:34:09;CRT;121;12,1;12:34:09;HRT;173;17,3;22;;
