time	Czujnik	data	temperature [°C]	u	time	Czujnik	data	temperature [°C]	ON/OFF
12:30:49	CRT	121	12,1	1	12:30:49	HRT	120	12	22
12:30:49	CRT	121	12,1	1	12:30:49	HRT	120	12	22
12:30:50	CRT	121	12,1	1	12:30:50	HRT	121	12,1	22
12:30:51	CRT	121	12,1	1	12:30:51	HRT	121	12,1	22
12:30:51	CRT	121	12,1	1	12:30:51	HRT	121	12,1	22
12:30:52	CRT	121	12,1	1	12:30:52	HRT	121	12,1	22
12:30:53	CRT	121	12,1	1	12:30:53	HRT	121	12,1	22
12:30:53	CRT	121	12,1	1	12:30:53	HRT	121	12,1	22
12:30:54	CRT	121	12,1	1	12:30:54	HRT	121	12,1	22
12:30:55	CRT	121	12,1	1	12:30:55	HRT	121	12,1	22
12:30:55	CRT	121	12,1	1	12:30:55	HRT	121	12,1	22
12:30:56	CRT	121	12,1	1	12:30:56	HRT	121	12,1	22
12:30:57	CRT	121	12,1	1	12:30:57	HRT	121	12,1	22
12:30:57	CRT	121	12,1	1	12:30:57	HRT	121	12,1	22
12:30:58	CRT	121	12,1	1	12:30:58	HRT	122	12,2	22
12:30:59	CRT	121	12,1	1	12:30:59	HRT	122	12,2	22
12:30:59	CRT	121	12,1	1	12:30:59	HRT	122	12,2	22
12:31:00	CRT	121	12,1	1	12:31:00	HRT	122	12,2	22
12:31:01	CRT	121	12,1	1	12:31:01	HRT	122	12,2	22
12:31:01	CRT	122	12,2	1	12:31:01	HRT	122	12,2	22
12:31:02	CRT	122	12,2	1	12:31:02	HRT	122	12,2	22
12:31:03	CRT	122	12,2	1	12:31:03	HRT	122	12,2	22
12:31:03	CRT	122	12,2	1	12:31:03	HRT	123	12,3	22
12:31:04	CRT	122	12,2	1	12:31:04	HRT	123	12,3	22
12:31:05	CRT	122	12,2	1	12:31:05	HRT	123	12,3	22
12:31:05	CRT	122	12,2	1	12:31:05	HRT	123	12,3	22
12:31:06	CRT	122	12,2	1	12:31:06	HRT	123	12,3	22
12:31:07	CRT	122	12,2	1	12:31:07	HRT	124	12,4	22
12:31:07	CRT	122	12,2	1	12:31:07	HRT	124	12,4	22
12:31:08	CRT	122	12,2	1	12:31:08	HRT	124	12,4	22
12:31:09	CRT	122	12,2	1	12:31:09	HRT	124	12,4	22
12:31:09	CRT	122	12,2	1	12:31:09	HRT	124	12,4	22
12:31:10	CRT	122	12,2	1	12:31:10	HRT	124	12,4	22
12:31:11	CRT	122	12,2	1	12:31:11	HRT	124	12,4	22
12:31:11	CRT	122	12,2	1	12:31:11	HRT	124	12,4	22
12:31:12	CRT	122	12,2	1	12:31:12	HRT	125	12,5	22
12:31:13	CRT	122	12,2	1	12:31:13	HRT	125	12,5	22
12:31:13	CRT	122	12,2	1	12:31:13	HRT	125	12,5	22
12:31:14	CRT	122	12,2	1	12:31:14	HRT	125	12,5	22
12:31:14	CRT	122	12,2	1	12:31:14	HRT	125	12,5	22
12:31:15	CRT	122	12,2	1	12:31:15	HRT	125	12,5	22
12:31:16	CRT	122	12,2	1	12:31:16	HRT	125	12,5	22
12:31:16	CRT	122	12,2	1	12:31:16	HRT	125	12,5	22
12:31:17	CRT	121	12,1	1	12:31:17	HRT	126	12,6	22
12:31:18	CRT	121	12,1	1	12:31:18	HRT	126	12,6	22
12:31:18	CRT	121	12,1	1	12:31:18	HRT	126	12,6	22
12:31:19	CRT	121	12,1	1	12:31:19	HRT	126	12,6	22
12:31:20	CRT	121	12,1	1	12:31:20	HRT	126	12,6	22
12:31:20	CRT	122	12,2	1	12:31:20	HRT	127	12,7	22
12:31:21	CRT	122	12,2	1	12:31:21	HRT	127	12,7	22
12:31:22	CRT	122	12,2	1	12:31:22	HRT	127	12,7	22
12:31:22	CRT	121	12,1	1	12:31:22	HRT	128	12,8	22
12:31:23	CRT	121	12,1	1	12:31:23	HRT	128	12,8	22
12:31:24	CRT	121	12,1	1	12:31:24	HRT	128	12,8	22
12:31:24	CRT	121	12,1	1	12:31:24	HRT	128	12,8	22
12:31:25	CRT	121	12,1	1	12:31:25	HRT	128	12,8	22
12:31:26	CRT	121	12,1	1	12:31:26	HRT	128	12,8	22
12:31:26	CRT	121	12,1	1	12:31:26	HRT	128	12,8	22
12:31:27	CRT	121	12,1	1	12:31:27	HRT	128	12,8	22
12:31:28	CRT	121	12,1	1	12:31:28	HRT	128	12,8	22
12:31:28	CRT	121	12,1	1	12:31:28	HRT	128	12,8	22
12:31:29	CRT	121	12,1	1	12:31:29	HRT	129	12,9	22
12:31:30	CRT	121	12,1	1	12:31:30	HRT	129	12,9	22
12:31:30	CRT	121	12,1	1	12:31:30	HRT	129	12,9	22
12:31:31	CRT	122	12,2	1	12:31:31	HRT	130	13	22
12:31:32	CRT	122	12,2	1	12:31:32	HRT	130	13	22
12:31:32	CRT	122	12,2	1	12:31:32	HRT	130	13	22
12:31:33	CRT	122	12,2	1	12:31:33	HRT	130	13	22
12:31:34	CRT	122	12,2	1	12:31:34	HRT	130	13	22
12:31:34	CRT	122	12,2	1	12:31:34	HRT	130	13	22
12:31:35	CRT	122	12,2	1	12:31:35	HRT	130	13	22
12:31:35	CRT	122	12,2	1	12:31:35	HRT	130	13	22
12:31:36	CRT	122	12,2	1	12:31:36	HRT	130	13	22
12:31:37	CRT	122	12,2	1	12:31:37	HRT	131	13,1	22
12:31:37	CRT	122	12,2	1	12:31:37	HRT	131	13,1	22
12:31:38	CRT	122	12,2	1	12:31:38	HRT	131	13,1	22
12:31:39	CRT	122	12,2	1	12:31:39	HRT	131	13,1	22
12:31:39	CRT	121	12,1	1	12:31:39	HRT	132	13,2	22
12:31:40	CRT	121	12,1	1	12:31:40	HRT	132	13,2	22
12:31:41	CRT	121	12,1	1	12:31:41	HRT	132	13,2	22
12:31:41	CRT	121	12,1	1	12:31:41	HRT	132	13,2	22
12:31:42	CRT	121	12,1	1	12:31:42	HRT	132	13,2	22
12:31:42	CRT	121	12,1	1	12:31:42	HRT	133	13,3	22
12:31:43	CRT	121	12,1	1	12:31:43	HRT	133	13,3	22
12:31:44	CRT	121	12,1	1	12:31:44	HRT	133	13,3	22
12:31:44	CRT	121	12,1	1	12:31:44	HRT	134	13,4	22
12:31:45	CRT	121	12,1	1	12:31:45	HRT	134	13,4	22
12:31:46	CRT	121	12,1	1	12:31:46	HRT	134	13,4	22
12:31:46	CRT	121	12,1	1	12:31:46	HRT	134	13,4	22
12:31:47	CRT	121	12,1	1	12:31:47	HRT	134	13,4	22
12:31:48	CRT	121	12,1	1	12:31:48	HRT	134	13,4	22
12:31:48	CRT	121	12,1	1	12:31:48	HRT	134	13,4	22
12:31:49	CRT	121	12,1	1	12:31:49	HRT	134	13,4	22
12:31:50	CRT	121	12,1	1	12:31:50	HRT	134	13,4	22
12:31:50	CRT	121	12,1	1	12:31:50	HRT	134	13,4	22
12:31:51	CRT	121	12,1	1	12:31:51	HRT	135	13,5	22
12:31:52	CRT	121	12,1	1	12:31:52	HRT	135	13,5	22
12:31:52	CRT	121	12,1	1	12:31:52	HRT	135	13,5	22
12:31:53	CRT	121	12,1	1	12:31:53	HRT	136	13,6	22
12:31:54	CRT	121	12,1	1	12:31:54	HRT	136	13,6	22
12:31:54	CRT	121	12,1	1	12:31:54	HRT	136	13,6	22
12:31:55	CRT	121	12,1	1	12:31:55	HRT	136	13,6	22
12:31:56	CRT	121	12,1	1	12:31:56	HRT	137	13,7	22
12:31:56	CRT	121	12,1	1	12:31:56	HRT	137	13,7	22
12:31:57	CRT	121	12,1	1	12:31:57	HRT	137	13,7	22
12:31:58	CRT	121	12,1	1	12:31:58	HRT	137	13,7	22
12:31:58	CRT	121	12,1	1	12:31:58	HRT	138	13,8	22
12:31:59	CRT	121	12,1	1	12:31:59	HRT	138	13,8	22
12:32:00	CRT	121	12,1	1	12:32:00	HRT	138	13,8	22
12:32:00	CRT	121	12,1	1	12:32:00	HRT	138	13,8	22
12:32:01	CRT	121	12,1	1	12:32:01	HRT	138	13,8	22
12:32:02	CRT	121	12,1	1	12:32:02	HRT	138	13,8	22
12:32:02	CRT	121	12,1	1	12:32:02	HRT	138	13,8	22
12:32:03	CRT	121	12,1	1	12:32:03	HRT	138	13,8	22
12:32:04	CRT	121	12,1	1	12:32:04	HRT	138	13,8	22
12:32:04	CRT	121	12,1	1	12:32:04	HRT	139	13,9	22
12:32:05	CRT	121	12,1	1	12:32:05	HRT	139	13,9	22
12:32:05	CRT	121	12,1	1	12:32:05	HRT	139	13,9	22
12:32:06	CRT	121	12,1	1	12:32:06	HRT	139	13,9	22
12:32:07	CRT	121	12,1	1	12:32:07	HRT	140	14	22
12:32:07	CRT	121	12,1	1	12:32:07	HRT	140	14	22
12:32:08	CRT	121	12,1	1	12:32:08	HRT	140	14	22
12:32:09	CRT	121	12,1	1	12:32:09	HRT	140	14	22
12:32:09	CRT	121	12,1	1	12:32:09	HRT	141	14,1	22
12:32:10	CRT	121	12,1	1	12:32:10	HRT	141	14,1	22
12:32:11	CRT	121	12,1	1	12:32:11	HRT	141	14,1	22
12:32:11	CRT	121	12,1	1	12:32:11	HRT	141	14,1	22
12:32:12	CRT	121	12,1	1	12:32:12	HRT	141	14,1	22
12:32:13	CRT	121	12,1	1	12:32:13	HRT	141	14,1	22
12:32:13	CRT	121	12,1	1	12:32:13	HRT	141	14,1	22
12:32:14	CRT	121	12,1	1	12:32:14	HRT	141	14,1	22
12:32:15	CRT	121	12,1	1	12:32:15	HRT	142	14,2	22
12:32:15	CRT	121	12,1	1	12:32:15	HRT	142	14,2	22
12:32:16	CRT	121	12,1	1	12:32:16	HRT	142	14,2	22
12:32:17	CRT	121	12,1	1	12:32:17	HRT	142	14,2	22
12:32:17	CRT	121	12,1	1	12:32:17	HRT	142	14,2	22
12:32:18	CRT	121	12,1	1	12:32:18	HRT	143	14,3	22
12:32:19	CRT	121	12,1	1	12:32:19	HRT	143	14,3	22
12:32:19	CRT	121	12,1	1	12:32:19	HRT	143	14,3	22
12:32:20	CRT	121	12,1	1	12:32:20	HRT	144	14,4	22
12:32:20	CRT	121	12,1	1	12:32:20	HRT	144	14,4	22
12:32:21	CRT	121	12,1	1	12:32:21	HRT	144	14,4	22
12:32:22	CRT	121	12,1	1	12:32:22	HRT	144	14,4	22
12:32:22	CRT	121	12,1	1	12:32:22	HRT	144	14,4	22
12:32:23	CRT	121	12,1	1	12:32:23	HRT	145	14,5	22
12:32:24	CRT	121	12,1	1	12:32:24	HRT	145	14,5	22
12:32:24	CRT	121	12,1	1	12:32:24	HRT	145	14,5	22
12:32:25	CRT	121	12,1	1	12:32:25	HRT	145	14,5	22
12:32:26	CRT	121	12,1	1	12:32:26	HRT	145	14,5	22
12:32:26	CRT	121	12,1	1	12:32:26	HRT	145	14,5	22
12:32:27	CRT	121	12,1	1	12:32:27	HRT	145	14,5	22
12:32:28	CRT	121	12,1	1	12:32:28	HRT	145	14,5	22
12:32:28	CRT	121	12,1	1	12:32:28	HRT	146	14,6	22
12:32:29	CRT	121	12,1	1	12:32:29	HRT	146	14,6	22
12:32:30	CRT	121	12,1	1	12:32:30	HRT	146	14,6	22
12:32:30	CRT	121	12,1	1	12:32:30	HRT	146	14,6	22
12:32:31	CRT	121	12,1	1	12:32:31	HRT	146	14,6	22
12:32:32	CRT	121	12,1	1	12:32:32	HRT	147	14,7	22
12:32:32	CRT	121	12,1	1	12:32:32	HRT	147	14,7	22
12:32:33	CRT	121	12,1	1	12:32:33	HRT	147	14,7	22
12:32:33	CRT	121	12,1	1	12:32:33	HRT	148	14,8	22
12:32:34	CRT	121	12,1	1	12:32:34	HRT	148	14,8	22
12:32:35	CRT	121	12,1	1	12:32:35	HRT	148	14,8	22
12:32:35	CRT	121	12,1	1	12:32:35	HRT	148	14,8	22
12:32:36	CRT	121	12,1	1	12:32:36	HRT	148	14,8	22
12:32:37	CRT	121	12,1	1	12:32:37	HRT	149	14,9	22
12:32:37	CRT	121	12,1	1	12:32:37	HRT	149	14,9	22
12:32:38	CRT	121	12,1	1	12:32:38	HRT	149	14,9	22
12:32:39	CRT	121	12,1	1	12:32:39	HRT	149	14,9	22
12:32:39	CRT	121	12,1	1	12:32:39	HRT	149	14,9	22
12:32:40	CRT	121	12,1	1	12:32:40	HRT	150	15	22
12:32:41	CRT	121	12,1	1	12:32:41	HRT	150	15	22
12:32:41	CRT	121	12,1	1	12:32:41	HRT	150	15	22
12:32:42	CRT	121	12,1	1	12:32:42	HRT	150	15	22
12:32:43	CRT	121	12,1	1	12:32:43	HRT	150	15	22
12:32:43	CRT	121	12,1	1	12:32:43	HRT	150	15	22
