probka;u;y_real;y_model;error
192;1.0000;5.1000;5.1754;-0.0754
193;1.0000;4.5000;4.9733;-0.4733
194;1.0000;4.5000;4.5690;-0.0690
195;1.0000;4.2000;4.5690;-0.3690
196;1.0000;2.4000;4.3669;-1.9669
197;1.0000;3.9000;3.1540;0.7460
198;1.0000;3.9000;4.1647;-0.2647
199;1.0000;4.0000;4.1647;-0.1647
200;1.0000;5.3000;4.2321;1.0679
201;1.0000;4.3000;5.1081;-0.8081
202;1.0000;5.5000;4.4342;1.0658
203;1.0000;3.9000;5.2428;-1.3428
204;1.0000;3.9000;4.1647;-0.2647
205;1.0000;2.4000;4.1647;-1.7647
206;1.0000;3.9000;3.1540;0.7460
207;1.0000;4.5000;4.1647;0.3353
208;1.0000;3.9000;4.5690;-0.6690
209;1.0000;3.9000;4.1647;-0.2647
210;1.0000;4.0000;4.1647;-0.1647
211;1.0000;3.9000;4.2321;-0.3321
212;1.0000;7.0000;4.1647;2.8353
213;1.0000;7.0000;6.2535;0.7465
214;1.0000;7.0000;6.2535;0.7465
215;1.0000;7.0000;6.2535;0.7465
216;1.0000;7.0000;6.2535;0.7465
217;1.0000;7.0000;6.2535;0.7465
218;1.0000;7.0000;6.2535;0.7465
219;1.0000;7.0000;6.2535;0.7465
220;1.0000;5.6000;6.2535;-0.6535
221;1.0000;7.0000;5.3102;1.6898
222;1.0000;7.0000;6.2535;0.7465
223;1.0000;7.0000;6.2535;0.7465
224;1.0000;7.0000;6.2535;0.7465
225;1.0000;7.0000;6.2535;0.7465
226;1.0000;7.0000;6.2535;0.7465
227;1.0000;7.0000;6.2535;0.7465
228;1.0000;7.0000;6.2535;0.7465
229;1.0000;7.0000;6.2535;0.7465
230;1.0000;7.0000;6.2535;0.7465
231;1.0000;7.0000;6.2535;0.7465
232;1.0000;7.0000;6.2535;0.7465
233;1.0000;7.0000;6.2535;0.7465
234;1.0000;7.0000;6.2535;0.7465
235;1.0000;7.0000;6.2535;0.7465
236;1.0000;7.0000;6.2535;0.7465
237;1.0000;7.0000;6.2535;0.7465
238;1.0000;7.0000;6.2535;0.7465
239;1.0000;7.0000;6.2535;0.7465
240;1.0000;7.0000;6.2535;0.7465
241;1.0000;7.0000;6.2535;0.7465
242;1.0000;7.0000;6.2535;0.7465
243;1.0000;7.0000;6.2535;0.7465
244;1.0000;7.0000;6.2535;0.7465
245;1.0000;7.0000;6.2535;0.7465
246;1.0000;1.4000;6.2535;-4.8535
247;1.0000;7.0000;2.4802;4.5198
248;1.0000;7.0000;6.2535;0.7465
249;1.0000;7.0000;6.2535;0.7465
250;1.0000;1.8000;6.2535;-4.4535
251;1.0000;7.0000;2.7497;4.2503
252;1.0000;7.0000;6.2535;0.7465
253;1.0000;7.0000;6.2535;0.7465
254;1.0000;4.8000;6.2535;-1.4535
255;1.0000;7.1000;4.7711;2.3289
256;1.0000;4.4000;6.3209;-1.9209
257;1.0000;7.1000;4.5016;2.5984
258;1.0000;4.2000;6.3209;-2.1209
259;1.0000;7.1000;4.3669;2.7331
260;1.0000;4.9000;6.3209;-1.4209
